Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$9.815,-0.255,-2.532%,415203827.00,,,144999,Basic Industries,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.8261,-0.0112,-1.338%,168758989.00,United States,2017,702178,Health Care,Major Pharmaceuticals
MXC,Mexco Energy Corporation Common Stock,$8.5999,0.6699,8.448%,17816120.00,United States,,38681,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$10.33,-0.02,-0.193%,57889558.00,United States,2017,16604,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.5001,-0.0116,-2.267%,256501389.00,Canada,,4461686,Basic Industries,Precious Metals
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$1.905,-0.055,-2.806%,55293410.00,United States,,41242,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBA,New Beginnings Acquisition Corp. Common Stock,$10.00,-0.05,-0.498%,149200000.00,,2020,286917,,
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$16.39,0.01,0.061%,308428593.00,United States,2002,10700,,
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$13.2864,0.0364,0.275%,67460593.00,United States,2002,488,,
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$14.65,0.05,0.342%,81322795.00,United States,2002,2882,,
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.7331,0.0171,2.388%,30748108.00,United States,2007,4936997,Health Care,Major Pharmaceuticals
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$63.40,0.00,0.00%,231580926.00,United States,,23,Consumer Services,Building operators
NES,Nuverra Environmental Solutions Inc. Common Stock,$2.0386,-0.0614,-2.924%,32617763.00,United States,2017,4019,Public Utilities,Water Supply
NEWP,New Pacific Metals Corp. Common Shares,$4.69,-0.23,-4.675%,721492932.00,,2021,115712,Capital Goods,Medical Specialities
NG,Novagold Resources Inc.,$8.27,0.11,1.348%,2740108892.00,Canada,,475872,Basic Industries,Precious Metals
NGD,New Gold Inc.,$1.93,0.06,3.209%,1313751000.00,Canada,,2675015,Basic Industries,Precious Metals
NHC,National HealthCare Corporation Common Stock,$69.87,1.06,1.54%,1075518692.00,United States,,33921,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$13.34,0.12,0.908%,260671404.00,United States,,48868,,
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$5.15,0.16,3.206%,291793479.00,,2013,117526,,
NNVC,NanoViricides Inc. Common Stock,$3.85,0.04,1.05%,44294250.00,United States,,191700,Health Care,Major Pharmaceuticals
NOG,Northern Oil and Gas Inc. Common Stock,$19.60,0.54,2.833%,1183896507.00,United States,,533939,Energy,Oil & Gas Production
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$4.92,0.09,1.863%,233308373.00,United States,2003,102799,,
NTIP,Network-1 Technologies Inc. Common Stock,$3.58,-0.12,-3.243%,86339322.00,United States,,759,Capital Goods,Telecommunications Equipment
NXE,Nexgen Energy Ltd. Common Shares,$4.18,0.02,0.481%,1967458781.00,,,868332,Basic Industries,Precious Metals
OGEN,Oragenics Inc. Common Stock,$0.689,-0.0129,-1.838%,79674765.00,United States,,975466,Health Care,Major Pharmaceuticals
